
Ukrivljeni lok – Članice
2,Dolinar Katarina,006 - LK MINS Postojna,365/12,434/20,439/12,,435/12,419/15,424/20,2516/91
3,Resnik Saša,005 - LK Kamnik,433/25,424/15,449/15,437/20,454/15,,,2197/90
4,Frank Adrijana,022 - LK Ilirska Bistrica,410/20,399/12,381/11,397/15,418/11,344/*8,399/15,2404/84
5,Pečak Katarinca,046 - LK Dolenjske Toplice,285/11,393/11,343/10,364/12,373/*9,359/10,360/12,2104/66
6,Klobučar Katarina,052 - DLLL Snežniška Diana,393/15,348/9,322/9,,382/10,329/7,314/10,2088/60
7,Zorman Petra,006 - LK MINS Postojna,,,453/20,,466/20,477/20,,1396/60
8,Prosen Ksenija,006 - LK MINS Postojna,232/10,272/8,292/*7,362/11,336/8,391/11,356/11,1949/59
9,Tomazin Katarina,052 - DLLL Snežniška Diana,,,301/8,,274/7,,241/9,816/24
10,Vrtunski Mariana,007 - LK Ankaran,,373/10,,,,407/12,,780/22
11,Grudnik Jelka,008 - LK Gornji Grad,,,,,,346/9,,346/9
12,Pirc Jevšenak Nina,011 - LK Šenčur,,243/7,,,,,,243/7
13,Kraševec Anja,073 - TKD Sovica,,,,,,279/6,,279/6

Goli lok – Člani
Mesto,Tekmovalec,Klub,Ajdovščina<br>16.11.2025,Postojna<br>6.12.2025,Kamnik<br>14.12.2025,Lendava<br>20.12.2025,Ilirska Bistrica<br>10.1.2026,Rakek<br>25.1.2026,Šenčur<br>7.2.2026,Skupaj
1,Resnik Andrej,005 - LK Kamnik,534/*15,544/25,546/25,524/20,531/20,543/25,531/25,3219/140
2,Kelvišar Klemen,053 - ŠD VLR Vilijem,546/25,,538/20,529/25,548/25,530/20,529/20,3220/135
3,Vrbec Andrej,065 - DL Lucky Art,491/12,513/15,495/12,500/15,486/15,,491/12,2976/81
4,Grad Matej,005 - LK Kamnik,542/20,533/20,528/15,,,,527/15,2130/70
5,Rupar Boštjan,006 - LK MINS Postojna,462/9,473/12,,478/12,448/9,476/11,486/11,2823/64
6,Furman Gašper,011 - LK Šenčur,455/8,447/10,450/10,,475/12,458/8,481/10,2766/58
7,Duša Primož,006 - LK MINS Postojna,465/10,443/8,461/11,462/10,455/10,467/9,,2753/58
